# Author: LRP
# Date: 15-06-2015
# Description:
# Spectrum of NGC6822-RSG01 taken from a grid of synthetic spectra
# At model resolution and sampling
# 1: Wavelength
# 2: Norm. Flux
1.195578 0.894485
1.195607 0.893700
1.195637 0.911357
1.195667 0.941454
1.195696 0.967869
1.195726 0.982663
1.195756 0.988997
1.195785 0.990054
1.195815 0.987062
1.195845 0.977831
1.195874 0.962037
1.195904 0.941234
1.195934 0.924820
1.195963 0.927686
1.195993 0.947614
1.196023 0.967162
1.196052 0.983902
1.196082 0.993221
1.196112 0.995617
1.196141 0.996400
1.196171 0.996741
1.196201 0.995969
1.196230 0.993242
1.196260 0.988863
1.196290 0.985330
1.196319 0.984832
1.196349 0.986503
1.196379 0.987581
1.196408 0.986921
1.196438 0.984929
1.196468 0.982657
1.196497 0.982009
1.196527 0.983452
1.196557 0.986392
1.196586 0.989093
1.196616 0.989843
1.196646 0.988419
1.196675 0.987306
1.196705 0.988060
1.196735 0.990861
1.196764 0.994396
1.196794 0.996983
1.196824 0.996518
1.196853 0.993321
1.196883 0.986239
1.196913 0.975675
1.196942 0.957485
1.196972 0.934056
1.197002 0.909652
1.197031 0.893275
1.197061 0.895125
1.197091 0.909506
1.197120 0.921962
1.197150 0.916390
1.197180 0.876506
1.197209 0.799366
1.197239 0.695162
1.197269 0.592858
1.197298 0.508952
1.197328 0.470101
1.197358 0.492368
1.197387 0.588625
1.197417 0.709561
1.197447 0.807855
1.197476 0.879523
1.197506 0.911623
1.197536 0.927909
1.197565 0.943476
1.197595 0.964129
1.197625 0.982081
1.197654 0.991622
1.197684 0.996194
1.197714 0.996568
1.197743 0.994900
1.197773 0.991795
1.197803 0.988635
1.197832 0.986904
1.197862 0.986775
1.197892 0.988585
1.197921 0.991271
1.197951 0.993285
1.197981 0.993757
1.198010 0.991875
1.198040 0.989565
1.198070 0.987738
1.198099 0.985980
1.198129 0.981431
1.198159 0.974132
1.198188 0.965105
1.198218 0.956596
1.198248 0.952044
1.198277 0.944721
1.198307 0.922922
1.198337 0.869218
1.198366 0.786723
1.198396 0.720646
1.198426 0.696934
1.198455 0.739208
1.198485 0.810731
1.198515 0.884163
1.198544 0.942959
1.198574 0.969429
1.198604 0.977975
1.198633 0.979678
1.198663 0.978653
1.198693 0.976892
1.198722 0.970927
1.198752 0.960145
1.198782 0.941826
1.198811 0.923716
1.198841 0.918261
1.198871 0.931359
1.198900 0.954082
1.198930 0.969971
1.198960 0.979496
1.198989 0.980355
1.199019 0.969416
1.199049 0.940160
1.199078 0.883294
1.199108 0.814005
1.199138 0.763349
1.199167 0.754936
1.199197 0.785928
1.199227 0.840427
1.199256 0.884851
1.199286 0.914629
1.199316 0.919030
1.199345 0.922031
1.199375 0.932730
1.199405 0.950812
1.199434 0.965823
1.199464 0.977848
1.199494 0.984077
1.199523 0.988421
1.199553 0.991204
1.199583 0.993297
1.199612 0.994609
1.199642 0.994330
1.199672 0.992598
1.199701 0.990146
1.199731 0.989015
1.199761 0.989084
1.199790 0.990184
1.199820 0.992276
1.199850 0.995994
1.199879 0.999781
1.199909 1.002259
1.199939 1.004040
1.199968 1.004178
1.199998 1.000156
1.200028 0.996134
1.200057 0.990197
1.200087 0.985425
1.200117 0.983565
1.200146 0.983767
1.200176 0.984089
1.200206 0.983600
1.200235 0.982467
1.200265 0.980234
1.200295 0.973523
1.200324 0.959588
1.200354 0.936907
1.200384 0.914745
1.200413 0.896562
1.200443 0.894961
1.200473 0.900033
1.200502 0.905496
1.200532 0.911164
1.200562 0.921508
1.200591 0.937208
1.200621 0.952530
1.200651 0.961372
1.200680 0.965952
1.200710 0.971684
1.200740 0.980233
1.200769 0.988786
1.200799 0.995596
1.200829 0.998228
1.200858 0.996527
1.200888 0.988613
1.200918 0.975254
1.200947 0.955124
1.200977 0.935023
1.201007 0.927837
1.201036 0.934797
1.201066 0.953632
1.201096 0.969136
1.201125 0.980943
1.201155 0.985966
1.201185 0.984917
1.201214 0.980347
1.201244 0.975040
1.201274 0.972664
1.201304 0.974785
1.201333 0.979456
1.201363 0.985734
1.201393 0.990784
1.201422 0.995497
1.201452 0.999426
1.201482 1.000809
1.201511 1.000135
1.201541 0.998116
1.201571 0.996095
1.201600 0.994579
1.201630 0.992267
1.201660 0.987077
1.201689 0.979578
1.201719 0.974658
1.201749 0.974561
1.201778 0.977807
1.201808 0.983513
1.201838 0.988668
1.201867 0.992426
1.201897 0.993518
1.201927 0.992684
1.201956 0.991256
1.201986 0.990183
1.202016 0.989897
1.202045 0.990293
1.202075 0.990976
1.202105 0.990911
1.202134 0.987435
1.202164 0.979249
1.202194 0.964591
1.202223 0.945430
1.202253 0.927037
1.202283 0.918112
1.202312 0.924581
1.202342 0.944931
1.202372 0.967878
1.202401 0.983108
1.202431 0.990896
1.202461 0.992987
1.202490 0.991897
1.202520 0.990423
1.202550 0.990229
1.202579 0.992286
1.202609 0.994101
1.202639 0.993272
1.202668 0.986881
1.202698 0.975028
1.202728 0.954470
1.202757 0.934183
1.202787 0.921121
1.202817 0.921816
1.202846 0.937772
1.202876 0.961501
1.202906 0.978196
1.202935 0.987344
1.202965 0.986680
1.202995 0.974606
1.203024 0.942238
1.203054 0.882495
1.203084 0.809846
1.203113 0.728714
1.203143 0.679888
1.203173 0.691938
1.203202 0.764448
1.203232 0.843707
1.203262 0.907598
1.203291 0.950238
1.203321 0.972039
1.203351 0.980335
1.203380 0.982963
1.203410 0.984265
1.203440 0.986281
1.203469 0.988887
1.203499 0.990453
1.203529 0.989513
1.203558 0.987208
1.203588 0.985119
1.203618 0.985640
1.203647 0.989525
1.203677 0.994149
1.203707 0.998021
1.203736 0.997940
1.203766 0.991186
1.203796 0.975692
1.203825 0.953859
1.203855 0.932047
1.203885 0.918493
1.203914 0.915822
1.203944 0.920201
1.203974 0.926725
1.204003 0.936811
1.204033 0.949023
1.204063 0.961493
1.204092 0.969484
1.204122 0.970515
1.204152 0.965620
1.204181 0.960011
1.204211 0.958527
1.204241 0.963275
1.204270 0.971674
1.204300 0.978572
1.204330 0.978964
1.204359 0.972622
1.204389 0.961532
1.204419 0.950792
1.204448 0.937641
1.204478 0.926710
1.204508 0.920319
1.204537 0.923138
1.204567 0.938835
1.204597 0.956783
1.204626 0.975252
1.204656 0.988032
1.204686 0.995634
1.204715 0.997984
1.204745 0.997289
1.204775 0.994837
1.204804 0.993050
1.204834 0.992961
1.204864 0.994169
1.204893 0.995555
1.204923 0.995417
1.204953 0.993155
1.204982 0.990401
1.205012 0.988640
1.205042 0.989158
1.205071 0.992503
1.205101 0.996571
1.205131 0.997916
1.205160 0.994384
1.205190 0.979913
1.205220 0.950809
1.205249 0.923219
1.205279 0.902584
1.205309 0.896572
1.205338 0.909957
1.205368 0.935739
1.205398 0.962593
1.205427 0.978799
